h1      2.0146485989e-06   2.0146485989e-06   
h2      2.6536484986e-17   1.3268242493e-17   
he3     6.3311474967e-12   2.1103824989e-12   
he4     4.2850107977e-02   1.0712526994e-02   
li6     3.9204814979e-20   6.5341358299e-21   
li7     5.9368055969e-12   8.4811508527e-13   
be9     9.4428009950e-15   1.0492001106e-15   
b10     3.0118699984e-18   3.0118699984e-19   
b11     9.9593657947e-13   9.0539689043e-14   
c12     3.2627606983e-05   2.7189672486e-06   
c13     1.2389543993e-10   9.5304184565e-12   
n14     4.6555804975e-10   3.3254146411e-11   
n15     7.9250607958e-10   5.2833738639e-11   
o16     1.2022058994e-07   7.5137868710e-09   
o17     4.7687783975e-10   2.8051637632e-11   
o18     2.7397492986e-08   1.5220829436e-09   
f19     1.2079261994e-08   6.3575063124e-10   
ne20    2.3402474988e-07   1.1701237494e-08   
ne21    1.0475227994e-09   4.9882038069e-11   
ne22    6.7993615964e-09   3.0906189075e-10   
na23    6.8905496964e-10   2.9958911723e-11   
mg24    5.5250650971e-07   2.3021104571e-08   
mg25    1.1662239994e-09   4.6648959975e-11   
mg26    1.4613961992e-08   5.6207546124e-10   
al27    2.0868872989e-08   7.7292122181e-10   
si28    7.3764405961e-06   2.6344430700e-07   
si29    8.5966049955e-09   2.9643465502e-10   
si30    2.7256070986e-07   9.0853569952e-09   
p31     6.2072442967e-07   2.0023368699e-08   
s32     3.2264191983e-05   1.0082559995e-06   
s33     6.7393827964e-08   2.0422372110e-09   
s34     2.1434382989e-06   6.3042302908e-08   
s36     1.5573546992e-09   4.3259852755e-11   
cl35    1.1415301994e-05   3.2615148554e-07   
cl37    9.5216960950e-08   2.5734313770e-09   
ar36    2.7497135985e-05   7.6380933293e-07   
ar38    3.2291409983e-06   8.4977394692e-08   
ar40    1.4195105992e-09   3.5487764981e-11   
k39     2.8084796985e-05   7.2012299962e-07   
k40     9.8338893948e-10   2.4584723487e-11   
k41     3.4618523982e-07   8.4435424346e-09   
ca40    2.7866589985e-04   6.9666474963e-06   
ca42    1.3710153993e-06   3.2643223792e-08   
ca43    3.8118128980e-06   8.8646811581e-08   
