starname,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
J0804+5740,,,,,,5.63,5.9,7.15,,,4.08,5.57,3.7,5.5,,,,,,4.21,0.92,2.99,1.63,2.89,2.45,5.05,2.4,3.67,1.08,2.33,,,,,,,,0.92,-0.03,0.78,0.11,0.03,,0.21,-0.33,,,,,,,,,,,0.26,-0.73,-0.37,-1,-0.32,,-0.71,-1.06,-0.54,-1.29,-0.48,-1.19,-0.71,-1.49,-0.71,-1.45,-0.77,,,,-0.19,-0.14,,,,,0.2,,,,,,,,-1.28,,
CS 30315-029,,,,,,5,5.6,,,,,4.75,2.68,4.8,,4.33,,,2.6,3.32,-0.36,1.8,0.53,1.78,1.58,4.07,1.74,2.78,,,,,,,,,,-0.84,-1.45,-0.77,,,,-0.95,,,,,,,,,,,,-1.10,-2.06,-1.65,-2.13,-1.56,,-1.76,-2.24,-1.85,-2.40,-1.62,-2.38,-1.75,-2.72,-1.98,,,,,,,,,,,,,,,,,,,,-2.45,,
