starname,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
J0804+5740,,,,,,0.16,0.22,0.14,,,0.2,0.15,0.2,0.16,,,,,,0.12,0.1,0.1,0.1,0.17,0.14,0.15,0.19,0.14,0.18,0.11,,,,,,,,0.13,0.11,0.1,0.13,0.21,,0.19,0.23,,,,,,,,,,,0.12,0.11,0.11,0.11,0.11,,0.11,0.12,0.11,0.13,0.11,0.12,0.12,0.13,0.14,0.13,0.14,,,,0.26,0.18,,,,,0.18,,,,,,,,0.15,,
CS 30315-029,,,,,,0.19,0.14,,,,,0.11,0.16,0.1,,0.16,,,0.11,0.07,0.06,0.12,0.09,0.02,0.12,0.13,0.11,0.1,,,,,,,,,,0.12,0.07,0.09,,,,0.14,,,,,,,,,,,,0.1,0.09,0.14,0.09,0.07,,0.1,0.07,0.11,0.14,0.14,0.13,0.13,0.12,0.12,,,,,,,,,,,,,,,,,,,,0.14,,
