h    4.88092484E-01
he   7.98208447E-02
li   3.26273054E-08
be   9.41240844E-14
b    4.84642614E-09
c    1.31514265E-03
n    3.99593763E-07
o    7.56506505E-03
f    8.17190258E-08
ne   1.20892868E-03
na   8.42193506E-06
mg   1.93306924E-04
al   3.66392335E-06
si   2.99808749E-04
p    5.56627436E-07
s    1.88906157E-04
cl   2.21862810E-07
ar   2.63921880E-05
k    1.77284362E-07
ca   1.75267648E-05
sc   1.20759049E-09
ti   3.44030203E-07
v    3.46478272E-08
cr   2.76076505E-06
mn   8.40561484E-07
fe   1.77445875E-04
co   3.47833967E-07
ni   6.33384185E-06
cu   2.55538432E-08
zn   1.18786775E-07
ga   4.43402197E-11
ge   4.20597105E-10
as   9.87813315E-14
se   6.43295057E-12
br   2.12208270E-15
kr   1.23161777E-13
rb   1.72118182E-19
sr   3.29876398E-17
y    1.22231174E-19
zr   1.41948055E-19
nb   3.75098534E-20
mo   4.81755786E-19
tc   6.83154903E-20
ru   0.00000000E+00
rh   0.00000000E+00
pd   0.00000000E+00
ag   0.00000000E+00
cd   0.00000000E+00
in   0.00000000E+00
sn   0.00000000E+00
sb   0.00000000E+00
te   0.00000000E+00
i    0.00000000E+00
xe   0.00000000E+00
cs   0.00000000E+00
ba   0.00000000E+00
la   0.00000000E+00
ce   0.00000000E+00
pr   0.00000000E+00
nd   0.00000000E+00
pm   0.00000000E+00
sm   0.00000000E+00
eu   0.00000000E+00
gd   0.00000000E+00
tb   0.00000000E+00
dy   0.00000000E+00
ho   0.00000000E+00
er   0.00000000E+00
tm   0.00000000E+00
yb   0.00000000E+00
lu   0.00000000E+00
hf   0.00000000E+00
ta   0.00000000E+00
w    0.00000000E+00
re   0.00000000E+00
os   0.00000000E+00
ir   0.00000000E+00
pt   0.00000000E+00
au   0.00000000E+00
hg   0.00000000E+00
tl   0.00000000E+00
pb   0.00000000E+00
bi   0.00000000E+00
