property,property,property,property,0,0,0,0
name,FeH,N,fitness,model,mass,age,offset
J1523+0714,-2.63,10,3.6534783716638373,4,0.029,13.0,1.4257671935908529e-09
J1548+2113,-2.33,7,20.526677507948754,2,0.0296,13.0,1.9362828414413586e-09
J1551+2040,-2.48,9,32.959227834800174,4,0.029,13.0,4.50127629245317e-08
J1604+1305,-2.15,10,8.787452491907022,4,0.029,13.0,2.0234061108474385e-08
J1612-0207,-2.14,7,18.91243399226215,2,0.0296,13.0,3.6684662208476537e-09
J1634+0206,-2.15,7,31.003030294163526,2,0.0296,13.0,6.751866073678305e-09
J1640+1550,-2.89,8,14.407615574979024,2,0.0296,13.0,5.933569364361863e-10
J1641+0334,-3.26,7,3.721627654800291,4,0.029,0.1,4.2405450591152395e-09
J1650+4313,-3.02,7,3.830198170530824,4,0.029,13.0,1.294560289849487e-09
J1657+3443,-2.6,9,6.198914115333356,2,0.0296,13.0,1.7303680999552643e-09
J1702+1732,-2.29,6,10.010178284049523,2,0.0296,13.0,7.75638537754519e-09
J1717+2449,-2.45,11,8.272300670972747,4,0.029,13.0,6.637699007602804e-09
J1719+1358,-2.77,8,11.277715579969115,4,0.029,13.0,1.05630783289213e-09
J1730+4143,-2.5,8,16.062770199883495,4,0.029,13.0,1.6161591356082926e-09
J1745+5410,-2.03,8,5.34625922790575,4,0.029,13.0,4.466289460576492e-09
J1833+1309,-2.64,4,5.208664646140219,2,0.0296,13.0,2.750147215322942e-09
J2114-0616,-2.55,12,39.257977092737065,1,0.0276,13.0,1.849902435704611e-08
J2159+0308,-2.83,10,2.8727510909724794,4,0.029,13.0,1.1522109819299816e-09
J2211+0454,-0.63,12,20.152159291579867,1,0.0276,13.0,3.468100613719242e-06
J2216+0246,-2.56,9,12.195690679521265,4,0.029,13.0,1.5910616573314178e-09
J2256+0215,-2.27,12,22.34901401941591,2,0.0296,13.0,1.0030879949679312e-08
J2257+3859,-2.65,9,46.55796380343717,18,0.112,13.0,7.94720180579431e-09
J2333+0505,-2.43,5,2.647025201275797,2,0.0296,13.0,2.7100870942887687e-09
J2347+2851,-2.36,9,9.256545638997496,4,0.029,13.0,2.6330884220546857e-09
J2349+3119,-2.01,9,20.323956028650024,2,0.0296,13.0,5.821913453129449e-09
