property,property,property,property,0,0,0,0,0,0
name,FeH,N,fitness,mass,metallicity,rotation,explosion,remnant,offset
J1501+3445,-2.61,7,12.860569045526372,30.0,0.01,0.0,4,29.86190385074956,0.4490180388559084
J1516+0442,-2.33,8,8.822287020011311,30.0,0.01,0.0,2,29.86190385074956,0.5430419504707821
J1518+2544,-2.15,8,7.504743539371378,120.0,0.01,300.0,4,70.36897637882832,0.9999999999999857
J1520+5500,-2.18,7,11.187981530817805,15.0,0.001,300.0,3,2.3531317812454855,0.004128546463884167
J1523+0714,-2.63,8,6.125387931073504,15.0,0.001,300.0,3,2.3531317812454855,0.0010855361639244044
J1548+2113,-2.33,8,26.757896194514775,20.0,0.01,300.0,3,3.7763391255174312,5.9006657291281e-05
J1551+2040,-2.48,8,4.400377055947691,13.0,0.01,300.0,1,2.0519462064664005,0.0026496324970459798
J1604+1305,-2.15,8,10.192592019732919,15.0,0.001,300.0,1,2.313863047850086,0.01167559621434307
J1612-0207,-2.14,8,12.705025006512969,30.0,0.001,150.0,3,3.684586428042902,0.07717881293473719
J1634+0206,-2.15,7,24.101666203478274,30.0,0.001,150.0,3,3.684586428042902,0.08322696710526926
J1640+1550,-2.89,8,14.728489528650044,40.0,0.01,300.0,2,22.941127674545534,0.14111390201482177
J1641+0334,-3.26,7,1.607717358895514,13.0,0.01,300.0,3,2.150598951132423,0.00018445900835852504
J1650+4313,-3.02,7,20.282213609444597,30.0,0.01,150.0,4,26.753635017475137,0.21318940207230186
J1657+3443,-2.6,8,9.544949753758422,30.0,0.01,0.0,2,29.86190385074956,0.38754819522430983
J1702+1732,-2.29,7,14.964659343206716,30.0,0.01,0.0,2,29.86190385074956,0.8412928088271213
J1717+2449,-2.45,8,9.19149699158176,15.0,0.001,300.0,1,2.313863047850086,0.0038038488814336312
J1719+1358,-2.77,8,10.961572809193667,15.0,0.001,300.0,1,2.313863047850086,0.0009989733214622262
J1730+4143,-2.5,8,6.92947065736529,30.0,0.01,0.0,2,29.86190385074956,0.5716236042837521
J1745+5410,-2.03,8,9.17697938092612,80.0,0.01,300.0,2,47.00710705660149,0.9999999999999859
J1833+1309,-2.64,6,6.429721321247259,40.0,0.01,300.0,4,22.941127674545534,0.357375393811001
J2114-0616,-2.55,9,3.5188604116930966,15.0,0.01,300.0,1,2.2177436038999403,0.0007113524392066428
J2159+0308,-2.83,8,6.327843826252116,15.0,0.001,300.0,1,2.313863047850086,0.0009168038500273203
J2211+0454,-0.63,8,11.452866576219671,15.0,0.01,300.0,3,2.413726720745707,0.23344322766312697
J2216+0246,-2.56,8,11.726867426736822,30.0,0.01,0.0,4,29.86190385074956,0.40780948959638214
J2256+0215,-2.27,9,3.2408584683359787,13.0,0.001,300.0,1,1.8905787842388193,0.012640509131092404
J2257+3859,-2.65,9,7.496803059123314,15.0,0.01,300.0,1,2.2177436038999403,0.0006807003077149345
J2333+0505,-2.43,7,27.726680705998756,30.0,0.01,0.0,2,29.86190385074956,0.5779407674008232
J2347+2851,-2.36,8,8.390501221473913,60.0,0.01,0.0,2,59.61755581029563,0.9006598645084506
J2349+3119,-2.01,8,19.734316582818863,20.0,0.01,300.0,3,3.7763391255174312,0.00021671440306397744
