property,property,property,property,0,0,0,0
name,FeH,N,fitness,model,mass,age,offset
J1657+3443,-2.6,12,8.005303500315001,1,0.0276,13.0,3.527379107709833e-09
J1702+1732,-2.29,9,5.1693735896703235,2,0.0296,13.0,7.629893410631337e-09
J1717+2449,-2.45,14,6.38341920865149,4,0.029,13.0,7.126409074963612e-09
J1719+1358,-2.77,11,10.767336020946846,1,0.0276,13.0,2.0086199304428964e-09
J1730+4143,-2.5,11,15.97592716338668,3,0.027,13.0,3.9599281006442014e-09
J1745+5410,-2.03,11,7.376500809432656,3,0.027,13.0,1.1142231944487121e-08
J1833+1309,-2.64,7,2.5405072187602444,1,0.0276,13.0,6.548756013327005e-09
J2114-0616,-2.55,15,30.338570361769033,6,0.0459,13.0,6.855340267210593e-09
J2159+0308,-2.83,13,3.107865058386227,3,0.027,13.0,2.2368676872690283e-09
J2211+0454,-0.63,14,18.834453161220026,1,0.0276,13.0,3.200654905072997e-06
J2216+0246,-2.56,12,11.634128413165216,3,0.027,13.0,3.6859636480542246e-09
J2256+0215,-2.27,15,17.916498529956097,1,0.0276,13.0,1.9595835585152243e-08
J2257+3859,-2.65,12,32.867562449523206,18,0.112,13.0,7.509553265796105e-09
J2333+0505,-2.43,8,4.995151345080364,1,0.0276,13.0,5.640590255859064e-09
J2347+2851,-2.36,12,9.094971921205914,3,0.027,13.0,5.583840766667323e-09
J2349+3119,-2.01,12,15.289433253793113,4,0.029,13.0,6.501281247685115e-09
