H    8.42000175E-04
He   8.83542186E-03
Li   2.07517880E-10
Be   5.35000000E-05
B    3.80390909E-05
C    1.83755385E-06
N    3.16276193E-06
O    4.25461520E-06
F    3.25368421E-09
Ne   1.37745367E-04
Na   7.83478261E-05
Mg   5.57895231E-05
Al   3.44185185E-05
Si   2.52640230E-05
P    4.51935484E-06
S    2.87704969E-05
Cl   6.45142857E-07
Ar   9.76513158E-07
K    5.55303940E-07
Ca   6.21725831E-05
Sc   4.21777778E-07
Ti   1.33877586E-05
V    1.59294118E-06
Cr   2.45161520E-05
Mn   4.67090909E-06
Fe   2.85640643E-05
Co   4.00847458E-06
Ni   7.19378639E-05
Cu   1.37910134E-05
Zn   5.16039149E-05
Ga   1.08290876E-05
Ge   9.55784354E-05
As   1.01746667E-05
Se   3.89197044E-04
Br   2.17141585E-04
Kr   3.97181403E-04
Rb   1.61669033E-04
Sr   2.07919410E-04
Y    6.27640449E-05
Zr   3.78375203E-04
Nb   4.96344086E-05
Mo   1.80919392E-04
Tc   2.88360428E-04
Ru   5.21165049E-05
Rh   2.42998434E-04
Pd   7.31824573E-05
Ag   1.92631194E-04
Cd   2.55217603E-05
In   1.53171683E-04
Sn   3.30482430E-05
Sb   6.89501881E-04
Te   1.17322835E-04
I    5.64050148E-04
Xe   3.82481203E-05
Cs   1.01768360E-04
Ba   2.86690647E-05
La   8.94531187E-05
Ce   3.21418440E-05
Pr   1.99462379E-04
Nd   1.04521612E-04
Pm   4.81407609E-05
Sm   1.78427628E-04
Eu   3.91635220E-05
Gd   1.63291774E-04
Tb   3.95636364E-05
Dy   1.13718250E-04
Ho   2.03254438E-05
Er   8.49017939E-05
Tm   1.74628571E-05
Yb   3.57368184E-05
Lu   4.27900552E-06
Hf   2.21590726E-05
Ta   1.64849291E-05
W    1.23702750E-04
Re   8.77939669E-05
Os   4.81132914E-04
Ir   1.22994924E-04
Pt   1.75772927E-04
Au   6.24225818E-05
Hg   1.09965975E-04
Tl   2.77461864E-07
Pb   2.00974739E-05
Bi   5.15281968E-06
