El,2,1.3,1,1.5,2,3,4.5,6,9,12,18,24,30,45,75,150
He,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05
C,3.44,3.44,3.44,3.44,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43
N,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
O,1.54,1.51,1.49,1.46,1.44,1.42,1.4,1.38,1.37,1.36,1.35,1.34,1.33,1.33,1.32,1.32
F,3.63,3.6,3.57,3.52,3.49,3.43,3.38,3.33,3.25,3.19,3.1,3.03,2.97,2.87,2.72,2.45
Ne,1.38,1.35,1.33,1.31,1.3,1.29,1.28,1.28,1.27,1.27,1.26,1.26,1.26,1.26,1.26,1.25
Na,0.98,0.94,0.9,0.86,0.84,0.8,0.77,0.75,0.73,0.71,0.69,0.68,0.67,0.65,0.64,0.61
Mg,0.5,0.48,0.46,0.44,0.42,0.4,0.39,0.38,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.33
Al,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Si,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
P,0.81,0.65,0.55,0.42,0.36,0.29,0.24,0.22,0.19,0.18,0.16,0.14,0.13,0.11,0.08,0.04
S,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
Cl,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.05
Ar,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
K,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
Ca,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
Sc,0.39,0.36,0.34,0.31,0.29,0.26,0.24,0.23,0.22,0.22,0.23,0.24,0.24,0.24,0.22,0.16
Ti,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.25
V,0.02,0.01,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0
Cr,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Mn,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,0.43,0.43,0.43,0.42,0.42,0.41,0.39,0.38,0.36,0.35,0.33,0.31,0.3,0.28,0.27,0.25
Ni,0.1,0.09,0.08,0.08,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01
Cu,0.86,0.83,0.8,0.76,0.73,0.67,0.61,0.56,0.5,0.45,0.39,0.36,0.34,0.32,0.33,0.31
Zn,0.38,0.34,0.31,0.26,0.23,0.18,0.14,0.12,0.09,0.07,0.06,0.05,0.06,0.08,0.12,0.11
Ga,0.83,0.76,0.7,0.6,0.54,0.43,0.34,0.29,0.22,0.19,0.16,0.17,0.2,0.32,0.41,0.38
Ge,0.81,0.72,0.65,0.54,0.47,0.36,0.28,0.23,0.18,0.16,0.15,0.18,0.24,0.41,0.49,0.43
As,0.64,0.55,0.48,0.37,0.31,0.22,0.16,0.13,0.1,0.09,0.1,0.14,0.21,0.37,0.43,0.35
Se,0.72,0.61,0.52,0.4,0.32,0.23,0.17,0.15,0.13,0.13,0.15,0.24,0.35,0.55,0.6,0.45
