El,-3.6,-3,-2.6,-2.3,-2,-1.6,-1.3,-1
He,0.26,0.26,0.26,0.25,0.25,0.14,0.07,0.07
C,5.13,4.53,4.13,3.83,3.52,2.83,2.24,1.94
N,3.15,2.55,2.15,1.86,1.56,0.98,0.63,0.52
O,2.89,2.3,1.92,1.63,1.35,0.86,0.59,0.43
F,4.63,4.02,3.6,3.25,2.88,2.1,1.44,1.1
Ne,3.87,3.26,2.87,2.57,2.28,1.62,1.11,0.93
Na,3.59,2.98,2.58,2.27,1.96,1.25,0.71,0.49
Mg,2.75,2.15,1.76,1.47,1.19,0.67,0.41,0.35
Al,1.39,0.84,0.53,0.35,0.21,0.06,0.02,0.02
Si,0.52,0.4,0.36,0.35,0.34,0.31,0.29,0.29
P,0.88,0.74,0.69,0.66,0.61,0.34,0.16,0.11
S,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.29
Cl,0.26,0.26,0.26,0.26,0.26,0.16,0.09,0.09
Ar,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
K,0.47,0.47,0.46,0.46,0.45,0.37,0.33,0.32
Ca,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29
Sc,0.95,0.94,0.93,0.92,0.9,0.62,0.37,0.31
Ti,0.42,0.42,0.42,0.42,0.41,0.31,0.27,0.26
V,0.09,0.08,0.08,0.08,0.06,0.01,0,0
Cr,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Mn,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
Fe,0,0,0,0,0,0,0,0
Co,1.01,1.01,1,0.98,0.95,0.66,0.41,0.37
Ni,0.32,0.31,0.29,0.27,0.25,0.12,0.05,0.04
Cu,1.43,1.4,1.38,1.34,1.29,0.94,0.64,0.58
Zn,0.83,0.8,0.77,0.74,0.71,0.49,0.32,0.31
Ga,1.42,1.39,1.36,1.34,1.31,1.04,0.8,0.75
Ge,1.46,1.43,1.41,1.39,1.38,1.15,0.9,0.82
As,1.33,1.3,1.29,1.28,1.28,1.06,0.82,0.71
Se,1.53,1.52,1.5,1.5,1.52,1.3,1.02,0.85
Br,1.45,1.44,1.43,1.43,1.44,1.22,0.94,0.76
Kr,1.86,1.84,1.84,1.84,1.85,1.57,1.19,0.9
Rb,2.17,2.16,2.16,2.16,2.17,1.87,1.45,1.09
Sr,2.24,2.24,2.25,2.26,2.29,2,1.53,1.09
Y,2.4,2.4,2.41,2.42,2.44,2.1,1.55,1.06
Zr,2.45,2.45,2.45,2.46,2.45,2.05,1.41,0.88
Nb,2.49,2.49,2.49,2.49,2.49,2.07,1.41,0.87
Mo,2.33,2.33,2.33,2.33,2.31,1.87,1.16,0.62
Ru,2.07,2.06,2.06,2.05,2.02,1.57,0.86,0.38
Rh,1.68,1.67,1.67,1.66,1.64,1.21,0.55,0.19
Pd,2.08,2.08,2.07,2.07,2.07,1.66,0.94,0.46
Ag,1.68,1.68,1.68,1.69,1.69,1.3,0.63,0.25
Cd,2.14,2.15,2.16,2.18,2.21,1.81,1.07,0.55
In,1.94,1.95,1.96,1.99,2.01,1.6,0.87,0.39
Sn,2.35,2.35,2.36,2.37,2.36,1.88,1.09,0.54
Sb,2.02,2.02,2.02,2.02,2,1.51,0.74,0.28
Te,1.87,1.87,1.88,1.88,1.86,1.36,0.62,0.2
I,1.37,1.37,1.37,1.37,1.35,0.88,0.27,0.05
Xe,1.95,1.95,1.95,1.96,1.93,1.4,0.64,0.2
Cs,1.77,1.77,1.77,1.78,1.77,1.26,0.52,0.14
Ba,2.72,2.72,2.73,2.73,2.69,2.02,1.15,0.44
La,2.68,2.69,2.69,2.7,2.64,1.92,1.05,0.32
Ce,2.76,2.76,2.77,2.77,2.71,1.91,1.01,0.26
Pr,2.53,2.54,2.55,2.56,2.5,1.7,0.82,0.17
Nd,2.6,2.61,2.62,2.62,2.56,1.72,0.83,0.16
Sm,2.43,2.43,2.44,2.43,2.35,1.5,0.63,0.09
Eu,1.72,1.72,1.72,1.71,1.64,0.82,0.19,0
Gd,2.15,2.15,2.16,2.14,2.07,1.21,0.41,0.03
Tb,1.9,1.9,1.91,1.89,1.81,0.97,0.26,0.01
Dy,2.13,2.13,2.14,2.12,2.04,1.18,0.39,0.03
Ho,1.88,1.88,1.89,1.87,1.79,0.94,0.25,0
Er,2.25,2.25,2.26,2.24,2.15,1.28,0.45,0.04
Tm,2.11,2.11,2.11,2.09,2,1.13,0.35,0.02
Yb,2.58,2.58,2.58,2.55,2.46,1.57,0.67,0.11
Lu,2.29,2.29,2.28,2.26,2.17,1.28,0.44,0.04
Hf,2.75,2.75,2.75,2.72,2.64,1.73,0.79,0.16
Ta,2.62,2.62,2.62,2.59,2.51,1.6,0.68,0.12
W,2.74,2.74,2.75,2.72,2.64,1.73,0.79,0.16
Re,2.13,2.13,2.13,2.11,2.02,1.14,0.35,0.03
Os,2.03,2.04,2.04,2.02,1.94,1.05,0.28,0.01
Ir,1.18,1.18,1.19,1.17,1.09,0.34,0.03,0
Pt,1.79,1.79,1.8,1.78,1.69,0.81,0.16,0
Au,1.76,1.76,1.76,1.74,1.65,0.77,0.15,0
Hg,2.76,2.76,2.77,2.75,2.67,1.71,0.74,0.19
Tl,2.71,2.71,2.72,2.69,2.6,1.66,0.68,0.14
Pb,3.37,3.33,3.26,3.11,2.75,1.65,0.5,0.06
Bi,3.15,3.08,2.96,2.74,2.21,1,0.11,0.01
