El,2,1.3,1,1.5,2,3,4.5,6,9,12,18,24,30,45,75,150
He,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15
C,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89
N,1.36,1.36,1.36,1.36,1.36,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
O,1.95,1.91,1.88,1.84,1.81,1.78,1.75,1.74,1.72,1.71,1.7,1.69,1.68,1.68,1.67,1.66
F,4,3.94,3.9,3.83,3.79,3.71,3.64,3.59,3.52,3.46,3.39,3.33,3.29,3.21,3.12,2.99
Ne,2.36,2.35,2.35,2.34,2.34,2.34,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.32
Na,2.03,2.01,1.99,1.98,1.98,1.97,1.96,1.96,1.96,1.95,1.95,1.94,1.94,1.93,1.92,1.91
Mg,1.45,1.41,1.37,1.32,1.29,1.24,1.2,1.17,1.14,1.12,1.11,1.1,1.09,1.08,1.07,1.07
Al,0.51,0.44,0.38,0.31,0.27,0.22,0.18,0.17,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12
Si,0.51,0.45,0.42,0.38,0.36,0.34,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31
P,1.7,1.47,1.29,1.05,0.9,0.72,0.6,0.55,0.5,0.47,0.43,0.41,0.39,0.35,0.31,0.26
S,0.43,0.38,0.35,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Cl,0.25,0.19,0.16,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.15,0.16,0.16,0.16,0.16,0.14
Ar,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
K,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37
Ca,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
Sc,0.81,0.73,0.69,0.65,0.63,0.62,0.62,0.62,0.63,0.64,0.65,0.65,0.65,0.64,0.61,0.56
Ti,0.42,0.36,0.33,0.32,0.32,0.32,0.33,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.3,0.28
V,0.12,0.06,0.04,0.03,0.03,0.03,0.04,0.05,0.05,0.05,0.04,0.03,0.03,0.01,0,0
Cr,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Mn,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.73
Ni,0.23,0.21,0.21,0.19,0.19,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Cu,1.24,1.22,1.2,1.17,1.16,1.13,1.1,1.08,1.06,1.05,1.04,1.03,1.04,1.05,1.06,1.06
Zn,0.68,0.65,0.62,0.58,0.56,0.52,0.48,0.46,0.44,0.44,0.45,0.47,0.49,0.52,0.54,0.5
Ga,1.25,1.19,1.15,1.09,1.05,0.99,0.94,0.91,0.89,0.89,0.93,0.98,1.01,1.07,1.08,0.99
Ge,1.26,1.19,1.14,1.07,1.03,0.96,0.91,0.88,0.87,0.89,0.96,1.02,1.07,1.13,1.12,0.98
As,1.1,1.03,0.97,0.9,0.85,0.78,0.73,0.7,0.7,0.74,0.84,0.91,0.96,1.02,0.99,0.82
Se,1.24,1.15,1.09,1.01,0.95,0.88,0.82,0.8,0.83,0.9,1.04,1.12,1.17,1.22,1.16,0.93
Br,1.14,1.05,0.99,0.9,0.85,0.77,0.72,0.7,0.74,0.83,0.96,1.05,1.1,1.14,1.08,0.83
Kr,1.39,1.26,1.18,1.07,1.01,0.94,0.91,0.94,1.07,1.2,1.35,1.43,1.47,1.47,1.34,0.96
Rb,1.64,1.51,1.41,1.29,1.23,1.16,1.14,1.18,1.35,1.5,1.65,1.73,1.77,1.75,1.6,1.15
