Ag,1.23,0.95,0.79,0.69,0.7,0.89,1.23,1.42,1.61,1.71,1.78,1.76,1.7,1.59,1.2,0.42
Cd,1.65,1.37,1.2,1.1,1.12,1.33,1.67,1.87,2.07,2.19,2.26,2.25,2.2,2.09,1.66,0.76
In,1.4,1.14,0.98,0.89,0.91,1.1,1.44,1.64,1.84,1.96,2.04,2.03,1.98,1.88,1.44,0.55
Sn,1.87,1.59,1.42,1.32,1.34,1.58,1.94,2.12,2.3,2.4,2.45,2.41,2.34,2.2,1.7,0.76
Sb,1.59,1.31,1.15,1.05,1.07,1.32,1.69,1.86,2.03,2.12,2.14,2.08,2.01,1.85,1.32,0.46
Te,1.45,1.17,1.01,0.91,0.94,1.2,1.56,1.72,1.89,1.98,2,1.93,1.86,1.71,1.16,0.34
I,0.97,0.71,0.57,0.49,0.52,0.74,1.07,1.23,1.39,1.48,1.49,1.43,1.35,1.2,0.69,0.08
Xe,1.57,1.28,1.12,1.02,1.06,1.35,1.71,1.86,2.02,2.09,2.09,2.01,1.94,1.77,1.18,0.34
Cs,1.36,1.08,0.92,0.83,0.87,1.14,1.5,1.65,1.81,1.9,1.91,1.85,1.78,1.63,1.03,0.23
Ba,2.43,2.14,1.98,1.91,2.01,2.37,2.65,2.77,2.91,2.94,2.88,2.8,2.72,2.45,1.75,0.65
La,2.42,2.14,1.98,1.92,2.03,2.41,2.66,2.77,2.91,2.93,2.85,2.77,2.69,2.37,1.65,0.48
Ce,2.55,2.27,2.11,2.07,2.22,2.6,2.81,2.92,3.04,3.04,2.94,2.85,2.77,2.37,1.65,0.4
Pr,2.31,2.04,1.88,1.84,1.99,2.37,2.58,2.69,2.81,2.82,2.73,2.65,2.57,2.17,1.45,0.26
Nd,2.4,2.12,1.97,1.93,2.08,2.46,2.66,2.78,2.89,2.89,2.79,2.71,2.62,2.19,1.48,0.26
Sm,2.28,1.99,1.84,1.8,1.96,2.35,2.54,2.65,2.75,2.73,2.61,2.52,2.42,1.96,1.26,0.15
Eu,1.57,1.29,1.14,1.11,1.27,1.64,1.83,1.94,2.03,2.01,1.89,1.8,1.7,1.25,0.61,0
Gd,2.01,1.73,1.57,1.54,1.71,2.09,2.27,2.38,2.47,2.45,2.33,2.23,2.13,1.66,0.98,0.05
Tb,1.76,1.48,1.33,1.3,1.46,1.84,2.03,2.13,2.23,2.2,2.08,1.98,1.87,1.41,0.75,0
Dy,2,1.72,1.56,1.53,1.7,2.08,2.26,2.37,2.46,2.43,2.3,2.21,2.1,1.62,0.94,0.04
Ho,1.75,1.47,1.32,1.29,1.46,1.83,2.02,2.12,2.21,2.18,2.05,1.96,1.84,1.37,0.72,0
Er,2.12,1.84,1.68,1.65,1.82,2.2,2.38,2.49,2.58,2.55,2.42,2.32,2.2,1.73,1.04,0.07
Tm,1.96,1.68,1.52,1.49,1.66,2.04,2.22,2.33,2.42,2.39,2.26,2.16,2.04,1.57,0.89,0.03
Yb,2.45,2.17,2.01,1.98,2.15,2.54,2.71,2.82,2.9,2.87,2.73,2.63,2.52,2.03,1.33,0.2
Lu,2.15,1.87,1.72,1.69,1.86,2.24,2.42,2.52,2.6,2.57,2.43,2.33,2.22,1.73,1.05,0.08
Hf,2.64,2.35,2.19,2.17,2.34,2.72,2.9,3,3.08,3.04,2.9,2.81,2.7,2.19,1.49,0.29
Ta,2.52,2.23,2.07,2.05,2.23,2.61,2.78,2.88,2.96,2.92,2.78,2.69,2.57,2.07,1.37,0.22
W,2.66,2.37,2.21,2.19,2.38,2.76,2.92,3.02,3.1,3.06,2.92,2.83,2.71,2.2,1.5,0.28
Re,2.08,1.79,1.63,1.63,1.83,2.19,2.34,2.45,2.51,2.46,2.31,2.22,2.1,1.59,0.93,0.04
Os,1.95,1.66,1.5,1.49,1.68,2.05,2.21,2.32,2.39,2.35,2.21,2.13,2.01,1.49,0.83,0.01
Ir,1.08,0.82,0.69,0.67,0.84,1.18,1.33,1.44,1.51,1.48,1.34,1.27,1.15,0.67,0.2,0
Pt,1.67,1.39,1.24,1.23,1.42,1.78,1.94,2.05,2.13,2.09,1.96,1.88,1.75,1.23,0.6,0
Au,1.63,1.35,1.21,1.19,1.38,1.74,1.9,2.01,2.08,2.05,1.92,1.84,1.71,1.18,0.57,0
Hg,2.64,2.36,2.21,2.2,2.39,2.75,2.91,3.03,3.1,3.07,2.93,2.86,2.73,2.17,1.48,0.33
Tl,2.66,2.38,2.23,2.25,2.47,2.81,2.95,3.06,3.1,3.05,2.91,2.82,2.67,2.1,1.42,0.29
Pb,4.29,4.18,4.14,4.1,4.07,4.03,3.96,3.88,3.73,3.58,3.32,3.06,2.79,2.2,1.29,0.18
Bi,4.2,4.09,4.03,3.98,3.94,3.87,3.76,3.65,3.43,3.24,2.9,2.55,2.24,1.63,0.63,0.07
