El,2,1.3,1,1.5,2,3,4.5,6,9,12,18,24,30,45,75,150
He,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
C,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.12
N,2.17,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.15,2.15,2.15
O,2.18,2.12,2.09,2.04,2.02,1.98,1.96,1.94,1.93,1.92,1.9,1.9,1.89,1.89,1.88,1.88
F,4.15,4.07,4.02,3.94,3.89,3.82,3.75,3.71,3.64,3.6,3.54,3.51,3.48,3.43,3.38,3.31
Ne,2.88,2.88,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.86,2.86,2.86
Na,2.57,2.57,2.57,2.57,2.57,2.58,2.58,2.58,2.58,2.58,2.58,2.57,2.57,2.56,2.56,2.55
Mg,2.07,2.02,1.98,1.93,1.9,1.85,1.81,1.79,1.77,1.76,1.74,1.74,1.73,1.73,1.72,1.72
Al,0.98,0.88,0.81,0.72,0.67,0.62,0.58,0.56,0.54,0.53,0.51,0.51,0.5,0.49,0.48,0.48
Si,0.77,0.66,0.59,0.5,0.46,0.42,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35
P,2.12,1.87,1.66,1.39,1.22,1,0.86,0.79,0.73,0.69,0.65,0.63,0.61,0.58,0.54,0.5
S,0.59,0.47,0.41,0.36,0.34,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
Cl,0.4,0.3,0.26,0.23,0.22,0.22,0.23,0.24,0.25,0.26,0.26,0.27,0.27,0.27,0.26,0.23
Ar,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
K,0.49,0.47,0.46,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
Ca,0.28,0.28,0.28,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27
Sc,1.04,0.94,0.89,0.88,0.88,0.89,0.91,0.92,0.93,0.93,0.93,0.93,0.92,0.91,0.88,0.85
Ti,0.54,0.44,0.41,0.41,0.41,0.43,0.43,0.43,0.43,0.42,0.41,0.4,0.38,0.37,0.35,0.33
V,0.21,0.12,0.09,0.09,0.09,0.1,0.1,0.1,0.09,0.08,0.06,0.05,0.04,0.02,0.01,0
Cr,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Mn,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,1.01,1.01,1.01,1.01,1.01,1,1,1,1,1,1,1,1,1,1,1
Ni,0.33,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.3,0.3,0.3,0.31,0.31
Cu,1.44,1.42,1.41,1.4,1.39,1.38,1.38,1.37,1.37,1.38,1.39,1.39,1.4,1.42,1.43,1.43
Zn,0.82,0.8,0.78,0.76,0.74,0.73,0.72,0.73,0.75,0.77,0.81,0.83,0.85,0.86,0.86,0.82
Ga,1.4,1.36,1.33,1.3,1.28,1.27,1.26,1.28,1.32,1.36,1.42,1.46,1.47,1.48,1.46,1.4
Ge,1.41,1.35,1.32,1.29,1.27,1.25,1.25,1.28,1.36,1.41,1.48,1.52,1.53,1.53,1.49,1.4
As,1.24,1.18,1.14,1.1,1.08,1.06,1.08,1.13,1.22,1.29,1.36,1.4,1.41,1.4,1.34,1.23
Se,1.38,1.31,1.27,1.22,1.2,1.18,1.23,1.3,1.43,1.5,1.58,1.61,1.61,1.58,1.5,1.36
Br,1.28,1.21,1.16,1.11,1.09,1.08,1.13,1.21,1.35,1.43,1.51,1.53,1.53,1.49,1.41,1.26
Kr,1.53,1.43,1.37,1.33,1.32,1.36,1.49,1.62,1.76,1.84,1.9,1.89,1.86,1.79,1.66,1.45
Rb,1.8,1.69,1.63,1.58,1.57,1.62,1.79,1.93,2.08,2.16,2.21,2.19,2.16,2.07,1.92,1.69
Sr,1.62,1.48,1.42,1.41,1.48,1.74,1.99,2.11,2.22,2.25,2.21,2.16,2.11,2,1.81,1.4
Y,1.69,1.52,1.46,1.49,1.61,1.93,2.19,2.3,2.4,2.41,2.35,2.28,2.21,2.08,1.85,1.32
Zr,1.69,1.5,1.45,1.53,1.7,2.07,2.3,2.4,2.47,2.45,2.35,2.27,2.19,2.02,1.76,1.11
Nb,1.71,1.53,1.47,1.55,1.73,2.11,2.34,2.43,2.51,2.49,2.39,2.3,2.22,2.05,1.78,1.1
Mo,1.57,1.38,1.33,1.44,1.64,2.02,2.22,2.31,2.37,2.33,2.21,2.12,2.04,1.85,1.55,0.81
Ru,1.3,1.11,1.07,1.18,1.39,1.77,1.96,2.06,2.11,2.06,1.93,1.83,1.75,1.56,1.27,0.55
Rh,0.93,0.75,0.71,0.82,1.02,1.39,1.58,1.67,1.72,1.67,1.54,1.45,1.37,1.19,0.92,0.27
Pd,1.31,1.12,1.08,1.2,1.42,1.79,1.98,2.07,2.12,2.07,1.96,1.87,1.8,1.63,1.35,0.56
Ag,0.94,0.76,0.72,0.83,1.04,1.4,1.59,1.68,1.73,1.68,1.57,1.49,1.42,1.26,1,0.28
Cd,1.41,1.22,1.18,1.31,1.53,1.9,2.07,2.16,2.2,2.16,2.06,1.99,1.93,1.76,1.47,0.59
In,1.22,1.04,1.01,1.14,1.35,1.71,1.88,1.97,2.01,1.96,1.87,1.79,1.73,1.56,1.27,0.42
Sn,1.63,1.45,1.42,1.58,1.83,2.18,2.33,2.42,2.43,2.36,2.24,2.14,2.06,1.87,1.54,0.62
Sb,1.32,1.14,1.11,1.29,1.54,1.89,2.02,2.11,2.1,2.02,1.89,1.79,1.71,1.51,1.17,0.32
Te,1.19,1.01,0.99,1.17,1.42,1.76,1.89,1.97,1.96,1.88,1.75,1.65,1.57,1.37,1.03,0.22
I,0.73,0.57,0.55,0.71,0.95,1.27,1.39,1.47,1.45,1.37,1.24,1.15,1.07,0.88,0.57,0.01
Xe,1.29,1.11,1.09,1.29,1.56,1.87,2,2.08,2.04,1.95,1.82,1.72,1.63,1.43,1.06,0.23
Cs,1.1,0.93,0.91,1.11,1.37,1.69,1.81,1.89,1.85,1.77,1.65,1.56,1.48,1.29,0.92,0.14
Ba,2.17,2,2.03,2.37,2.59,2.78,2.9,2.92,2.82,2.73,2.6,2.49,2.39,2.17,1.63,0.56
La,2.17,2.01,2.06,2.42,2.63,2.79,2.9,2.9,2.79,2.69,2.56,2.45,2.35,2.12,1.52,0.43
Ce,2.3,2.15,2.23,2.62,2.8,2.92,3.03,2.99,2.86,2.77,2.64,2.52,2.42,2.16,1.47,0.37
Pr,2.08,1.92,2.01,2.4,2.57,2.7,2.8,2.77,2.64,2.55,2.42,2.31,2.21,1.96,1.27,0.23
Nd,2.16,2.01,2.11,2.5,2.67,2.78,2.88,2.84,2.71,2.62,2.49,2.37,2.27,2,1.28,0.23
Sm,2.01,1.86,1.96,2.35,2.51,2.63,2.72,2.67,2.54,2.44,2.3,2.17,2.07,1.79,1.06,0.13
Eu,1.3,1.16,1.26,1.64,1.8,1.91,2.01,1.95,1.82,1.72,1.58,1.46,1.36,1.08,0.45,0
Gd,1.73,1.58,1.68,2.07,2.23,2.35,2.44,2.39,2.25,2.16,2.01,1.89,1.78,1.49,0.79,0.03
Tb,1.49,1.34,1.44,1.83,1.98,2.1,2.19,2.14,2,1.91,1.76,1.64,1.53,1.25,0.57,0
