H    1.000000E+00
He   7.762124E-04
C    9.121685E-03
N    2.454771E-05
O    1.513627E-04
F    6.309859E-07
Ne   1.621738E-04
Na   1.479282E-06
Mg   9.548818E-06
Al   5.012739E-08
Si   4.897884E-07
P    3.235438E-08
S    1.548515E-07
Cl   2.691298E-09
Ar   2.290971E-08
K    1.548141E-09
Ca   1.949568E-08
Sc   5.246478E-11
Ti   1.071471E-09
V    4.570604E-11
Cr   1.318354E-09
Mn   5.247540E-10
Fe   1.479004E-07
Co   4.265605E-09
Ni   1.585000E-08
Cu   1.862627E-09
Zn   1.000060E-09
Ga   9.998772E-11
Ge   3.890638E-10
As   1.202106E-11
Se   1.698429E-10
Br   2.137735E-11
Kr   1.697977E-10
Rb   5.011517E-11
Sr   7.413289E-11
Y    2.041977E-11
Zr   5.011291E-11
Nb   3.980789E-12
Mo   7.413322E-12
Ru   3.019730E-12
Rh   1.861974E-13
Pd   1.949771E-12
Ag   2.238695E-13
Cd   4.265479E-12
In   3.090504E-13
Sn   1.318095E-11
Sb   6.307767E-13
Te   7.081510E-12
I    6.165717E-13
Xe   1.023410E-11
Cs   4.785248E-13
Ba   9.770837E-11
La   7.584306E-12
Ce   3.467465E-11
Pr   2.883991E-12
Nd   1.778098E-11
Sm   4.365399E-12
Eu   3.161980E-13
Gd   3.089616E-12
Tb   3.020339E-13
Dy   3.236128E-12
Ho   4.466907E-13
Er   2.951077E-12
Tm   3.235310E-13
Yb   5.369971E-12
Lu   4.898078E-13
Hf   8.127779E-12
Ta   6.456733E-13
W    7.762667E-12
Re   5.755345E-13
Os   6.025868E-12
Ir   9.331592E-13
Pt   5.888869E-12
Au   1.071479E-12
Hg   2.041588E-11
Tl   1.288204E-11
Pb   4.786509E-09
Bi   1.819768E-10
