El,-3.6,-3,-2.6,-2.3,-2.0 ,-1.6,-1.3,-1.0 
He,0.06,0.06,0.06,0.06,0.06,0.03,0.01,0.01
C,4.44,3.83,3.44,3.13,2.83,2.13,1.54,1.24
N,1.41,0.92,0.68,0.56,0.48,0.42,0.4,0.4
O,2.37,1.82,1.49,1.25,1.03,0.7,0.53,0.4
F,4.57,3.97,3.57,3.25,2.92,2.1,1.31,0.74
Ne,2.28,1.69,1.33,1.09,0.88,0.53,0.39,0.37
Na,1.85,1.26,0.9,0.66,0.46,0.15,0.05,0.04
Mg,1.06,0.63,0.46,0.38,0.33,0.28,0.26,0.26
Al,0.25,0.09,0.04,0.03,0.02,0.01,0,0
Si,0.38,0.32,0.31,0.3,0.29,0.29,0.28,0.28
P,1.21,0.76,0.55,0.43,0.34,0.14,0.05,0.04
S,0.34,0.31,0.3,0.3,0.29,0.29,0.29,0.29
Cl,0.08,0.06,0.06,0.05,0.05,0.02,0.01,0.01
Ar,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26
K,0.33,0.33,0.32,0.32,0.31,0.3,0.29,0.29
Ca,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
Sc,0.41,0.36,0.34,0.3,0.26,0.09,0.04,0.04
Ti,0.29,0.27,0.27,0.26,0.26,0.25,0.24,0.25
V,0.03,0.01,0.01,0.01,0,0,0,0
Cr,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Mn,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
Fe,0,0,0,0,0,0,0,0
Co,0.42,0.43,0.43,0.42,0.4,0.19,0.06,0.03
Ni,0.1,0.09,0.08,0.07,0.05,0.01,0,0
Cu,0.87,0.85,0.8,0.74,0.63,0.22,0.04,0.02
Zn,0.4,0.36,0.31,0.24,0.16,0.02,0,0
Ga,0.87,0.8,0.7,0.57,0.38,0.06,0.02,0.02
Ge,0.85,0.77,0.65,0.5,0.31,0.05,0.02,0.02
As,0.68,0.59,0.48,0.34,0.18,0.02,0.01,0.01
Se,0.76,0.66,0.52,0.36,0.19,0.03,0.02,0.03
Br,0.66,0.56,0.43,0.28,0.14,0.02,0.01,0.02
Kr,0.74,0.61,0.46,0.31,0.18,0.07,0.05,0.12
Rb,0.88,0.72,0.55,0.39,0.26,0.11,0.07,0.16
Sr,0.67,0.51,0.4,0.32,0.26,0.18,0.15,0.48
Y,0.66,0.49,0.41,0.36,0.31,0.23,0.18,0.56
Zr,0.65,0.48,0.41,0.37,0.33,0.24,0.2,0.66
Nb,0.68,0.5,0.43,0.39,0.35,0.26,0.21,0.68
Mo,0.56,0.4,0.34,0.31,0.27,0.2,0.16,0.61
Ru,0.4,0.27,0.23,0.19,0.16,0.11,0.1,0.5
Rh,0.21,0.13,0.1,0.08,0.06,0.05,0.05,0.31
Pd,0.42,0.29,0.24,0.21,0.18,0.15,0.16,0.64
Ag,0.21,0.13,0.11,0.09,0.07,0.07,0.07,0.4
Cd,0.44,0.31,0.27,0.25,0.25,0.23,0.22,0.78
In,0.31,0.21,0.19,0.18,0.18,0.15,0.15,0.62
Sn,0.61,0.45,0.4,0.37,0.35,0.3,0.27,0.88
Sb,0.4,0.27,0.23,0.21,0.19,0.15,0.14,0.59
Te,0.33,0.22,0.18,0.16,0.15,0.12,0.11,0.53
I,0.12,0.07,0.05,0.05,0.04,0.03,0.03,0.25
Xe,0.38,0.26,0.22,0.2,0.18,0.15,0.14,0.62
Cs,0.29,0.19,0.16,0.14,0.13,0.12,0.12,0.56
Ba,1.09,0.89,0.82,0.78,0.76,0.69,0.83,1.46
La,1.09,0.89,0.82,0.79,0.76,0.7,0.88,1.46
Ce,1.2,1,0.93,0.89,0.88,0.83,1.11,1.58
Pr,1,0.8,0.74,0.71,0.7,0.68,0.95,1.38
Nd,1.08,0.88,0.82,0.79,0.77,0.74,1.05,1.46
Sm,0.93,0.74,0.67,0.64,0.62,0.58,0.86,1.21
Eu,0.38,0.26,0.22,0.21,0.2,0.18,0.34,0.58
Gd,0.68,0.51,0.46,0.43,0.42,0.39,0.63,0.93
Tb,0.49,0.35,0.31,0.29,0.28,0.26,0.45,0.71
Dy,0.67,0.5,0.45,0.43,0.41,0.38,0.6,0.9
Ho,0.47,0.34,0.3,0.28,0.27,0.24,0.43,0.7
Er,0.77,0.59,0.54,0.51,0.5,0.44,0.7,1.01
Tm,0.66,0.5,0.45,0.42,0.41,0.35,0.57,0.87
Yb,1.07,0.87,0.8,0.77,0.74,0.67,0.99,1.32
Lu,0.82,0.63,0.58,0.54,0.51,0.45,0.75,1.05
Hf,1.25,1.05,0.97,0.92,0.89,0.84,1.19,1.5
Ta,1.13,0.93,0.86,0.81,0.78,0.74,1.09,1.39
W,1.25,1.04,0.97,0.92,0.9,0.86,1.23,1.53
Re,0.79,0.59,0.52,0.48,0.47,0.44,0.76,1.01
Os,0.63,0.47,0.41,0.39,0.38,0.36,0.65,0.86
Ir,0.15,0.09,0.07,0.07,0.06,0.06,0.16,0.25
Pt,0.45,0.32,0.28,0.26,0.26,0.24,0.47,0.64
Au,0.43,0.3,0.27,0.25,0.24,0.22,0.44,0.62
Hg,1.29,1.09,1.03,0.99,0.98,0.94,1.35,1.55
Tl,1.39,1.14,1.06,1.03,1.04,0.99,1.47,1.62
Pb,3.24,3.23,3.22,3.22,3.21,2.89,2.53,2.26
Bi,3.14,3.11,3.09,3.06,3.01,2.58,2.06,1.65
