objname,FeH,FeH_err,Sr,Y,Zr,Nb,Mo,Ru,Rh,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Os,Ir,Pb,Th,eSr,eY,eZr,eNb,eMo,eRu,eRh,eBa,eLa,eCe,ePr,eNd,eSm,eEu,eGd,eTb,eDy,eHo,eEr,eTm,eYb,eLu,eHf,eOs,eIr,ePb,eTh
J0804+5740,-2.38,0.09,0.92,-0.03,0.78,0.11,0.03,0.21,-0.33,0.26,-0.73,-0.37,-1,-0.32,-0.71,-1.06,-0.54,-1.29,-0.48,-1.19,-0.71,-1.49,-0.71,-1.45,-0.77,-0.19,-0.14,0.2,-1.28,0.1,0.07,0.05,0.09,0.18,0.17,0.21,0.08,0.06,0.06,0.07,0.07,0.06,0.08,0.06,0.09,0.07,0.08,0.08,0.09,0.11,0.09,0.11,0.24,0.15,0.16,0.12
CS 30315-029,-3.4,0.09,-0.84,-1.45,-0.77,,,-0.95,,-1.1,-2.06,-1.65,-2.13,-1.56,-1.76,-2.24,-1.85,-2.4,-1.62,-2.38,-1.75,-2.72,-1.98,,,,,,-2.45,0.17,0.13,0.14,,,0.19,,0.16,0.14,0.18,0.14,0.13,0.16,0.13,0.16,0.2,0.18,0.19,0.18,0.17,0.19,,,,,,0.18
