name,Z,A,[Fe/H],Vel,YieldTot
C12,6,12,-2,300,0.50586
C13,6,13,-2,300,0.0071104
C14,6,14,-2,300,2.3218e-11
N13,7,13,-2,300,6.1206e-13
N14,7,14,-2,300,0.063001
N15,7,15,-2,300,1.2427e-06
N16,7,16,-2,300,0.0
O15,8,15,-2,300,6.3173e-15
O16,8,16,-2,300,0.13101
O17,8,17,-2,300,9.2943e-06
O18,8,18,-2,300,8.5509e-06
O19,8,19,-2,300,0.0
F17,0,17,-2,300,1.3451e-17
F18,0,18,-2,300,2.4742e-18
F19,0,19,-2,300,2.4362e-07
F20,0,20,-2,300,0.0
Ne20,10,20,-2,300,0.00049688
Ne21,10,21,-2,300,1.8859e-05
Ne22,10,22,-2,300,0.0012208
Ne23,10,23,-2,300,0.0
Na21,11,21,-2,300,0.0
Na22,11,22,-2,300,9.6367e-18
Na23,11,23,-2,300,6.7604e-05
Na24,11,24,-2,300,0.0
Mg23,12,23,-2,300,0.0
Mg24,12,24,-2,300,0.00031637
Mg25,12,25,-2,300,3.0446e-05
Mg26,12,26,-2,300,3.8576e-05
Mg27,12,27,-2,300,0.0
Al25,13,25,-2,300,0.0
Al26,13,26,-2,300,7.9287e-06
Al27,13,27,-2,300,8.5414e-05
Al28,13,28,-2,300,0.0
Si27,14,27,-2,300,0.0
Si28,14,28,-2,300,0.00053925
Si29,14,29,-2,300,2.7594e-05
Si30,14,30,-2,300,2.1223e-05
Si31,14,31,-2,300,0.0
Si32,14,32,-2,300,0.0
P29,15,29,-2,300,0.0
P30,15,30,-2,300,0.0
P31,15,31,-2,300,2.6541e-06
P32,15,32,-2,300,5.6676000000000004e-33
P33,15,33,-2,300,0.0
P34,15,34,-2,300,0.0
S31,16,31,-2,300,0.0
S32,16,32,-2,300,0.00021468
S33,16,33,-2,300,3.7368e-06
S34,16,34,-2,300,1.1759e-05
S35,16,35,-2,300,5.964599999999999e-32
S36,16,36,-2,300,5.1552e-08
S37,16,37,-2,300,0.0
Cl33,17,33,-2,300,0.0
Cl34,17,34,-2,300,0.0
Cl35,17,35,-2,300,1.9794e-06
Cl36,17,36,-2,300,2.4545e-08
Cl37,17,37,-2,300,1.8362e-06
Cl38,17,38,-2,300,0.0
Ar36,18,36,-2,300,4.0272e-05
Ar37,18,37,-2,300,1.3037e-20
Ar38,18,38,-2,300,8.0821e-06
Ar39,18,39,-2,300,5.7719e-24
Ar40,18,40,-2,300,1.6256e-08
Ar41,18,41,-2,300,0.0
K37,19,37,-2,300,0.0
K38,19,38,-2,300,0.0
K39,19,39,-2,300,1.0022e-06
K40,19,40,-2,300,3.2019e-08
K41,19,41,-2,300,1.0308e-07
K42,19,42,-2,300,0.0
Ca40,20,40,-2,300,4.4964e-05
Ca41,20,41,-2,300,2.3631e-07
Ca42,20,42,-2,300,7.634e-07
Ca43,20,43,-2,300,1.7336e-07
Ca44,20,44,-2,300,1.3984e-06
Ca45,20,45,-2,300,3.8790000000000003e-31
Ca46,20,46,-2,300,2.156e-09
Ca47,20,47,-2,300,8.961699999999999e-36
Ca48,20,48,-2,300,1.0625e-07
Ca49,20,49,-2,300,0.0
Sc41,21,41,-2,300,0.0
Sc42,21,42,-2,300,0.0
Sc43,21,43,-2,300,0.0
Sc44,21,44,-2,300,0.0
Sc45,21,45,-2,300,5.4139e-08
Sc46,21,46,-2,300,2.2612000000000003e-31
Sc47,21,47,-2,300,6.832e-36
Sc48,21,48,-2,300,0.0
Sc49,21,49,-2,300,0.0
Ti44,22,44,-2,300,0.0
Ti45,22,45,-2,300,0.0
Ti46,22,46,-2,300,2.3784e-07
Ti47,22,47,-2,300,1.6566e-07
Ti48,22,48,-2,300,1.4883e-06
Ti49,22,49,-2,300,1.5539e-07
Ti50,22,50,-2,300,1.9952e-07
Ti51,22,51,-2,300,0.0
V45,23,45,-2,300,0.0
V46,23,46,-2,300,0.0
V47,23,47,-2,300,0.0
V48,23,48,-2,300,0.0
