name,Z,A,[Fe/H],Vel,YieldTot
C12,6,12,-1,0,0.25921
C13,6,13,-1,0,0.00014213
C14,6,14,-1,0,2.77e-06
N13,7,13,-1,0,6.3036e-13
N14,7,14,-1,0,0.0080847
N15,7,15,-1,0,8.7343e-07
N16,7,16,-1,0,1.7798000000000002e-27
O15,8,15,-1,0,8.4508e-17
O16,8,16,-1,0,0.85779
O17,8,17,-1,0,2.6452e-05
O18,8,18,-1,0,0.0011502
O19,8,19,-1,0,8.324399999999999e-21
F17,0,17,-1,0,2.2795e-25
F18,0,18,-1,0,9.2788e-08
F19,0,19,-1,0,4.2942e-07
F20,0,20,-1,0,4.2247e-23
Ne20,10,20,-1,0,0.09308
Ne21,10,21,-1,0,0.00010861
Ne22,10,22,-1,0,0.0043404
Ne23,10,23,-1,0,2.1458e-15
Na21,11,21,-1,0,1.039e-15
Na22,11,22,-1,0,3.3764e-07
Na23,11,23,-1,0,0.0010227
Na24,11,24,-1,0,7.1472e-07
Mg23,12,23,-1,0,9.4016e-16
Mg24,12,24,-1,0,0.030501
Mg25,12,25,-1,0,0.0010927
Mg26,12,26,-1,0,0.0010472
Mg27,12,27,-1,0,1.8107e-13
Al25,13,25,-1,0,2.644e-18
Al26,13,26,-1,0,4.2792e-05
Al27,13,27,-1,0,0.0023042
Al28,13,28,-1,0,1.2237e-13
Si27,14,27,-1,0,1.2635e-18
Si28,14,28,-1,0,0.10493
Si29,14,29,-1,0,0.0011829
Si30,14,30,-1,0,0.0017438
Si31,14,31,-1,0,1.0279e-08
Si32,14,32,-1,0,5.8894e-10
P29,15,29,-1,0,2.2407000000000002e-20
P30,15,30,-1,0,1.0682e-12
P31,15,31,-1,0,0.00048831
P32,15,32,-1,0,2.6192e-07
P33,15,33,-1,0,1.8801e-07
P34,15,34,-1,0,1.3611999999999998e-21
S31,16,31,-1,0,4.519099999999999e-22
S32,16,32,-1,0,0.035609
S33,16,33,-1,0,0.00029485
S34,16,34,-1,0,0.0014589
S35,16,35,-1,0,1.6268e-07
S36,16,36,-1,0,3.0739e-07
S37,16,37,-1,0,6.3169e-19
Cl33,17,33,-1,0,2.5674e-23
Cl34,17,34,-1,0,5.6712e-26
Cl35,17,35,-1,0,0.00011054
Cl36,17,36,-1,0,5.4538e-07
Cl37,17,37,-1,0,7.5801e-06
Cl38,17,38,-1,0,3.4758e-12
Ar36,18,36,-1,0,0.0059252
Ar37,18,37,-1,0,1.7019e-05
Ar38,18,38,-1,0,0.00058384
Ar39,18,39,-1,0,1.3275e-07
Ar40,18,40,-1,0,9.0079e-08
Ar41,18,41,-1,0,9.9936e-12
K37,19,37,-1,0,9.4466e-32
K38,19,38,-1,0,3.2582e-14
K39,19,39,-1,0,5.9864e-05
K40,19,40,-1,0,1.3536e-07
K41,19,41,-1,0,4.1758e-07
K42,19,42,-1,0,4.7908e-09
Ca40,20,40,-1,0,0.0048531
Ca41,20,41,-1,0,4.7615e-06
Ca42,20,42,-1,0,1.8655e-05
Ca43,20,43,-1,0,9.3329e-07
Ca44,20,44,-1,0,5.3548e-06
Ca45,20,45,-1,0,6.0508e-08
Ca46,20,46,-1,0,2.1075e-08
Ca47,20,47,-1,0,2.5539e-10
Ca48,20,48,-1,0,4.0173e-07
Ca49,20,49,-1,0,2.7207e-17
Sc41,21,41,-1,0,4.605e-47
Sc42,21,42,-1,0,1.1282999999999999e-40
Sc43,21,43,-1,0,2.8984e-08
Sc44,21,44,-1,0,3.8309e-09
Sc45,21,45,-1,0,4.5119e-07
Sc46,21,46,-1,0,3.5438e-08
Sc47,21,47,-1,0,6.851e-09
Sc48,21,48,-1,0,1.1228e-09
Sc49,21,49,-1,0,7.9856e-13
Ti44,22,44,-1,0,2.394e-05
Ti45,22,45,-1,0,3.4783e-08
Ti46,22,46,-1,0,9.4582e-06
Ti47,22,47,-1,0,1.2683e-06
Ti48,22,48,-1,0,5.7457e-06
Ti49,22,49,-1,0,6.0968e-07
Ti50,22,50,-1,0,7.7551e-07
Ti51,22,51,-1,0,7.4219e-16
V45,23,45,-1,0,3.0295e-51
V46,23,46,-1,0,1.0127e-49
V47,23,47,-1,0,1.2117e-10
V48,23,48,-1,0,4.4189e-08
V49,23,49,-1,0,2.7561e-06
V50,23,50,-1,0,1.6588e-08
V51,23,51,-1,0,4.5655e-07
V52,23,52,-1,0,2.1208e-16
Cr48,24,48,-1,0,7.1829e-05
Cr49,24,49,-1,0,5.6552e-09
Cr50,24,50,-1,0,2.6825e-05
Cr51,24,51,-1,0,6.2354e-06
Cr52,24,52,-1,0,1.9997e-05
Cr53,24,53,-1,0,1.9799e-06
Cr54,24,54,-1,0,1.0196e-06
Cr55,24,55,-1,0,6.5392e-16
Mn50,25,50,-1,0,6.682599999999999e-59
Mn51,25,51,-1,0,1.5781e-08
Mn52,25,52,-1,0,0.00015308
Mn53,25,53,-1,0,5.4474e-05
Mn54,25,54,-1,0,3.123e-08
Mn55,25,55,-1,0,1.3919e-05
Mn56,25,56,-1,0,2.8321e-09
Mn57,25,57,-1,0,1.2772e-20
Fe52,26,52,-1,0,0.00045974
Fe53,26,53,-1,0,1.8528e-14
Fe54,26,54,-1,0,0.0018017
Fe55,26,55,-1,0,4.8941e-05
Fe56,26,56,-1,0,0.0014683
Fe57,26,57,-1,0,4.5133e-05
Fe58,26,58,-1,0,3.3671e-05
Fe59,26,59,-1,0,1.3262e-06
Fe60,26,60,-1,0,2.154e-07
Fe61,26,61,-1,0,1.2852e-16
Co54,27,54,-1,0,1.2381e-59
Co55,27,55,-1,0,0.00020428
Co56,27,56,-1,0,1.7358e-06
Co57,27,57,-1,0,0.00012755
Co58,27,58,-1,0,4.1974e-07
Co59,27,59,-1,0,1.7017e-05
Co60,27,60,-1,0,8.3916e-07
Co61,27,61,-1,0,1.1474e-08
Ni56,28,56,-1,0,0.07
Ni57,28,57,-1,0,0.0024017
Ni58,28,58,-1,0,0.0044675
Ni59,28,59,-1,0,0.0001325
Ni60,28,60,-1,0,0.0014293
Ni61,28,61,-1,0,4.557e-05
Ni62,28,62,-1,0,3.0184e-05
Ni63,28,63,-1,0,1.5996e-06
Ni64,28,64,-1,0,3.4965e-06
Ni65,28,65,-1,0,2.6988e-09
Cu57,29,57,-1,0,1.2381e-59
Cu58,29,58,-1,0,8.5593e-37
Cu59,29,59,-1,0,5.8512e-20
Cu60,29,60,-1,0,3.0357e-08
Cu61,29,61,-1,0,3.1399e-05
Cu62,29,62,-1,0,4.3282e-07
Cu63,29,63,-1,0,3.6382e-06
Cu64,29,64,-1,0,2.0034e-07
Cu65,29,65,-1,0,2.0969e-06
Cu66,29,66,-1,0,1.6667e-14
Zn60,30,60,-1,0,1.6289e-23
Zn61,30,61,-1,0,5.3707e-24
Zn62,30,62,-1,0,0.00062213
Zn63,30,63,-1,0,1.2285e-09
Zn64,30,64,-1,0,1.0226e-05
Zn65,30,65,-1,0,9.7885e-07
Zn66,30,66,-1,0,6.6664e-06
Zn67,30,67,-1,0,3.5872e-07
Zn68,30,68,-1,0,1.4485e-06
Zn69,30,69,-1,0,1.379e-10
Zn70,30,70,-1,0,2.9833e-08
Zn71,30,71,-1,0,7.3438e-20
Ga62,31,62,-1,0,1.2381e-59
Ga63,31,63,-1,0,2.0748e-32
