name,Z,A,[Fe/H],Vel,YieldTot
C12,6,12,-1,0,0.0052853
C13,6,13,-1,0,0.0001922
C14,6,14,-1,0,7.130000000000001e-24
N13,7,13,-1,0,3.6144e-29
N14,7,14,-1,0,0.013228
N15,7,15,-1,0,1.8575e-06
N16,7,16,-1,0,0.0
O15,8,15,-1,0,6.5438e-33
O16,8,16,-1,0,0.02646
O17,8,17,-1,0,1.2037e-05
O18,8,18,-1,0,5.4865e-05
O19,8,19,-1,0,0.0
F17,0,17,-1,0,0.0
F18,0,18,-1,0,0.0
F19,0,19,-1,0,6.2805e-07
F20,0,20,-1,0,0.0
Ne20,10,20,-1,0,0.0020304
Ne21,10,21,-1,0,4.4471e-06
Ne22,10,22,-1,0,0.00012308
Ne23,10,23,-1,0,0.0
Na21,11,21,-1,0,0.0
Na22,11,22,-1,0,0.0
Na23,11,23,-1,0,0.00017904
Na24,11,24,-1,0,0.0
Mg23,12,23,-1,0,0.0
Mg24,12,24,-1,0,0.0017803
Mg25,12,25,-1,0,0.00017082
Mg26,12,26,-1,0,0.00027526
Mg27,12,27,-1,0,0.0
Al25,13,25,-1,0,0.0
Al26,13,26,-1,0,1.744e-06
Al27,13,27,-1,0,0.00015989
Al28,13,28,-1,0,0.0
Si27,14,27,-1,0,0.0
Si28,14,28,-1,0,0.0028479
Si29,14,29,-1,0,0.00014971
Si30,14,30,-1,0,0.00010215
Si31,14,31,-1,0,0.0
Si32,14,32,-1,0,0.0
P29,15,29,-1,0,0.0
P30,15,30,-1,0,0.0
P31,15,31,-1,0,1.0564e-05
P32,15,32,-1,0,0.0
P33,15,33,-1,0,0.0
P34,15,34,-1,0,0.0
S31,16,31,-1,0,0.0
S32,16,32,-1,0,0.0011884
S33,16,33,-1,0,9.8118e-06
S34,16,34,-1,0,5.7063e-05
S35,16,35,-1,0,0.0
S36,16,36,-1,0,2.8167e-07
S37,16,37,-1,0,0.0
Cl33,17,33,-1,0,0.0
Cl34,17,34,-1,0,0.0
Cl35,17,35,-1,0,1.1118e-05
Cl36,17,36,-1,0,5.206399999999999e-21
Cl37,17,37,-1,0,3.7566e-06
Cl38,17,38,-1,0,0.0
Ar36,18,36,-1,0,0.00022703
Ar37,18,37,-1,0,6.318e-23
Ar38,18,38,-1,0,4.3569e-05
Ar39,18,39,-1,0,8.274900000000001e-33
Ar40,18,40,-1,0,7.3353e-08
Ar41,18,41,-1,0,0.0
K37,19,37,-1,0,0.0
K38,19,38,-1,0,0.0
K39,19,39,-1,0,5.1592e-06
K40,19,40,-1,0,8.3365e-09
K41,19,41,-1,0,3.9142e-07
K42,19,42,-1,0,0.0
Ca40,20,40,-1,0,0.00025176
Ca41,20,41,-1,0,3.4319000000000005e-19
Ca42,20,42,-1,0,1.7643e-06
Ca43,20,43,-1,0,3.7691e-07
Ca44,20,44,-1,0,5.9592e-06
Ca45,20,45,-1,0,0.0
Ca46,20,46,-1,0,1.1946e-08
Ca47,20,47,-1,0,0.0
Ca48,20,48,-1,0,5.8277e-07
Ca49,20,49,-1,0,0.0
Sc41,21,41,-1,0,0.0
Sc42,21,42,-1,0,0.0
Sc43,21,43,-1,0,0.0
Sc44,21,44,-1,0,0.0
Sc45,21,45,-1,0,8.4262e-08
Sc46,21,46,-1,0,0.0
Sc47,21,47,-1,0,0.0
Sc48,21,48,-1,0,0.0
Sc49,21,49,-1,0,0.0
Ti44,22,44,-1,0,0.0
Ti45,22,45,-1,0,0.0
Ti46,22,46,-1,0,8.9461e-07
Ti47,22,47,-1,0,8.2432e-07
