name,Z,A,[Fe/H],Vel,YieldTot
C12,6,12,-1,300,1.453
C13,6,13,-1,300,0.0014922
C14,6,14,-1,300,1.5818e-12
N13,7,13,-1,300,2.8051e-14
N14,7,14,-1,300,0.06696
N15,7,15,-1,300,1.6703e-06
N16,7,16,-1,300,0.0
O15,8,15,-1,300,2.6368e-15
O16,8,16,-1,300,0.23084
O17,8,17,-1,300,1.5929e-05
O18,8,18,-1,300,7.2059e-05
O19,8,19,-1,300,0.0
F17,0,17,-1,300,5.956400000000001e-19
F18,0,18,-1,300,1.2894000000000001e-19
F19,0,19,-1,300,6.1112e-06
F20,0,20,-1,300,0.0
Ne20,10,20,-1,300,0.005041
Ne21,10,21,-1,300,1.0659e-05
Ne22,10,22,-1,300,0.021065
Ne23,10,23,-1,300,0.0
Na21,11,21,-1,300,0.0
Na22,11,22,-1,300,3.4969e-18
Na23,11,23,-1,300,0.0010577
Na24,11,24,-1,300,0.0
Mg23,12,23,-1,300,0.0
Mg24,12,24,-1,300,0.0047544
Mg25,12,25,-1,300,0.00029956
Mg26,12,26,-1,300,0.00051982
Mg27,12,27,-1,300,0.0
Al25,13,25,-1,300,0.0
Al26,13,26,-1,300,1.0917e-05
Al27,13,27,-1,300,0.00089624
Al28,13,28,-1,300,0.0
Si27,14,27,-1,300,0.0
Si28,14,28,-1,300,0.0075927
Si29,14,29,-1,300,0.00040101
Si30,14,30,-1,300,0.00027695
Si31,14,31,-1,300,0.0
Si32,14,32,-1,300,0.0
P29,15,29,-1,300,0.0
P30,15,30,-1,300,0.0
P31,15,31,-1,300,3.1492e-05
P32,15,32,-1,300,6.3916e-33
P33,15,33,-1,300,0.0
P34,15,34,-1,300,0.0
S31,16,31,-1,300,0.0
S32,16,32,-1,300,0.0031448
S33,16,33,-1,300,4.2808e-05
S34,16,34,-1,300,0.0001538
S35,16,35,-1,300,8.128e-32
S36,16,36,-1,300,7.493e-07
S37,16,37,-1,300,0.0
Cl33,17,33,-1,300,0.0
Cl34,17,34,-1,300,0.0
Cl35,17,35,-1,300,2.8911e-05
Cl36,17,36,-1,300,4.0357e-07
Cl37,17,37,-1,300,2.2395e-05
Cl38,17,38,-1,300,0.0
Ar36,18,36,-1,300,0.00059186
Ar37,18,37,-1,300,2.5891e-17
Ar38,18,38,-1,300,0.00011562
Ar39,18,39,-1,300,3.0189e-22
Ar40,18,40,-1,300,2.2189e-07
Ar41,18,41,-1,300,0.0
K37,19,37,-1,300,0.0
K38,19,38,-1,300,0.0
K39,19,39,-1,300,1.4225e-05
K40,19,40,-1,300,3.2882e-07
K41,19,41,-1,300,1.1375e-06
K42,19,42,-1,300,0.0
Ca40,20,40,-1,300,0.00066039
Ca41,20,41,-1,300,6.3964e-06
Ca42,20,42,-1,300,7.5903e-06
Ca43,20,43,-1,300,1.3451e-06
Ca44,20,44,-1,300,1.5929e-05
Ca45,20,45,-1,300,4.1609e-31
Ca46,20,46,-1,300,3.1493e-08
Ca47,20,47,-1,300,1.4926e-35
Ca48,20,48,-1,300,1.5477e-06
Ca49,20,49,-1,300,0.0
Sc41,21,41,-1,300,0.0
Sc42,21,42,-1,300,0.0
Sc43,21,43,-1,300,0.0
Sc44,21,44,-1,300,0.0
Sc45,21,45,-1,300,3.6044e-07
Sc46,21,46,-1,300,1.3946e-31
Sc47,21,47,-1,300,1.1376000000000001e-35
Sc48,21,48,-1,300,0.0
Sc49,21,49,-1,300,0.0
Ti44,22,44,-1,300,0.0
Ti45,22,45,-1,300,0.0
Ti46,22,46,-1,300,2.4435e-06
Ti47,22,47,-1,300,2.0778e-06
Ti48,22,48,-1,300,2.108e-05
Ti49,22,49,-1,300,2.6364e-06
Ti50,22,50,-1,300,2.0579e-06
Ti51,22,51,-1,300,0.0
V45,23,45,-1,300,0.0
V46,23,46,-1,300,0.0
V47,23,47,-1,300,0.0
V48,23,48,-1,300,0.0
V49,23,49,-1,300,0.0
V50,23,50,-1,300,3.4768e-09
V51,23,51,-1,300,1.5469e-06
V52,23,52,-1,300,0.0
Cr48,24,48,-1,300,0.0
Cr49,24,49,-1,300,0.0
Cr50,24,50,-1,300,3.0911e-06
Cr51,24,51,-1,300,1.5039e-18
Cr52,24,52,-1,300,6.6408e-05
Cr53,24,53,-1,300,7.5146e-06
Cr54,24,54,-1,300,3.0408e-06
Cr55,24,55,-1,300,0.0
Mn50,25,50,-1,300,0.0
Mn51,25,51,-1,300,0.0
Mn52,25,52,-1,300,0.0
Mn53,25,53,-1,300,0.0
Mn54,25,54,-1,300,0.0
Mn55,25,55,-1,300,5.8357e-05
Mn56,25,56,-1,300,0.0
Mn57,25,57,-1,300,0.0
Fe52,26,52,-1,300,0.0
Fe53,26,53,-1,300,0.0
Fe54,26,54,-1,300,0.00033086
Fe55,26,55,-1,300,9.2687e-11
Fe56,26,56,-1,300,0.0056545
Fe57,26,57,-1,300,0.00018238
Fe58,26,58,-1,300,5.9301e-05
Fe59,26,59,-1,300,2.2987e-30
Fe60,26,60,-1,300,5.6037e-10
Fe61,26,61,-1,300,0.0
Co54,27,54,-1,300,0.0
Co55,27,55,-1,300,0.0
Co56,27,56,-1,300,0.0
Co57,27,57,-1,300,0.0
Co58,27,58,-1,300,0.0
Co59,27,59,-1,300,2.4084e-05
Co60,27,60,-1,300,1.0221e-15
Co61,27,61,-1,300,0.0
Ni56,28,56,-1,300,0.0
Ni57,28,57,-1,300,0.0
Ni58,28,58,-1,300,0.00021886
Ni59,28,59,-1,300,4.5076e-06
Ni60,28,60,-1,300,9.5457e-05
Ni61,28,61,-1,300,7.3339e-06
Ni62,28,62,-1,300,1.634e-05
Ni63,28,63,-1,300,1.9921e-24
Ni64,28,64,-1,300,3.8384e-06
Ni65,28,65,-1,300,0.0
Cu57,29,57,-1,300,0.0
Cu58,29,58,-1,300,0.0
Cu59,29,59,-1,300,0.0
Cu60,29,60,-1,300,0.0
Cu61,29,61,-1,300,0.0
Cu62,29,62,-1,300,0.0
Cu63,29,63,-1,300,3.6686e-06
Cu64,29,64,-1,300,1.523e-32
Cu65,29,65,-1,300,1.561e-06
Cu66,29,66,-1,300,0.0
Zn60,30,60,-1,300,0.0
Zn61,30,61,-1,300,0.0
Zn62,30,62,-1,300,0.0
Zn63,30,63,-1,300,0.0
Zn64,30,64,-1,300,4.1756e-06
Zn65,30,65,-1,300,1.5014999999999998e-22
Zn66,30,66,-1,300,2.4169e-06
Zn67,30,67,-1,300,3.8061e-07
Zn68,30,68,-1,300,1.7315e-06
Zn69,30,69,-1,300,0.0
Zn70,30,70,-1,300,5.3401e-08
Zn71,30,71,-1,300,0.0
Ga62,31,62,-1,300,0.0
Ga63,31,63,-1,300,0.0
Ga64,31,64,-1,300,0.0
Ga65,31,65,-1,300,0.0
Ga66,31,66,-1,300,0.0
Ga67,31,67,-1,300,0.0
Ga68,31,68,-1,300,0.0
Ga69,31,69,-1,300,1.8264e-07
Ga70,31,70,-1,300,0.0
Ga71,31,71,-1,300,1.265e-07
Ga72,31,72,-1,300,0.0
Ge64,32,64,-1,300,0.0
Ge65,32,65,-1,300,0.0
Ge66,32,66,-1,300,0.0
Ge67,32,67,-1,300,0.0
Ge68,32,68,-1,300,0.0
Ge69,32,69,-1,300,0.0
Ge70,32,70,-1,300,2.567e-07
Ge71,32,71,-1,300,9.8218e-33
Ge72,32,72,-1,300,3.1941e-07
Ge73,32,73,-1,300,9.0166e-08
Ge74,32,74,-1,300,4.3628e-07
Ge75,32,75,-1,300,0.0
Ge76,32,76,-1,300,8.7444e-08
Ge77,32,77,-1,300,0.0
As71,33,71,-1,300,0.0
As72,33,72,-1,300,0.0
As73,33,73,-1,300,0.0
As74,33,74,-1,300,0.0
As75,33,75,-1,300,5.2816e-08
As76,33,76,-1,300,0.0
As77,33,77,-1,300,0.0
Se74,34,74,-1,300,4.5173e-09
Se75,34,75,-1,300,5.2744000000000004e-33
Se76,34,76,-1,300,6.2085e-08
Se77,34,77,-1,300,4.5692e-08
Se78,34,78,-1,300,1.5633e-07
Se79,34,79,-1,300,1.9161e-13
Se80,34,80,-1,300,2.9062e-07
Se81,34,81,-1,300,0.0
Se82,34,82,-1,300,5.4086e-08
Se83,34,83,-1,300,0.0
Br75,35,75,-1,300,0.0
Br76,35,76,-1,300,0.0
Br77,35,77,-1,300,0.0
Br78,35,78,-1,300,0.0
Br79,35,79,-1,300,4.597e-08
Br80,35,80,-1,300,0.0
Br81,35,81,-1,300,4.8071e-08
Br82,35,82,-1,300,0.0
Br83,35,83,-1,300,0.0
Kr78,36,78,-1,300,1.5743e-09
Kr79,36,79,-1,300,0.0
Kr80,36,80,-1,300,1.6636e-08
Kr81,36,81,-1,300,2.2086e-09
Kr82,36,82,-1,300,7.6267e-08
Kr83,36,83,-1,300,6.0015e-08
Kr84,36,84,-1,300,2.9865e-07
Kr85,36,85,-1,300,3.4852000000000004e-30
Kr86,36,86,-1,300,9.2663e-08
Kr87,36,87,-1,300,0.0
Rb79,37,79,-1,300,0.0
Rb80,37,80,-1,300,0.0
Rb81,37,81,-1,300,0.0
Rb82,37,82,-1,300,0.0
Rb83,37,83,-1,300,0.0
Rb84,37,84,-1,300,0.0
Rb85,37,85,-1,300,6.8709e-08
Rb86,37,86,-1,300,1.3937e-32
Rb87,37,87,-1,300,2.9231e-08
Rb88,37,88,-1,300,0.0
Sr84,38,84,-1,300,1.088e-09
Sr85,38,85,-1,300,7.1944000000000005e-34
Sr86,38,86,-1,300,3.7327e-08
Sr87,38,87,-1,300,2.2611e-08
Sr88,38,88,-1,300,2.0223e-07
Sr89,38,89,-1,300,1.8325e-33
Sr90,38,90,-1,300,0.0
Sr91,38,91,-1,300,0.0
Y85,39,85,-1,300,0.0
Y86,39,86,-1,300,0.0
Y87,39,87,-1,300,0.0
Y88,39,88,-1,300,0.0
Y89,39,89,-1,300,5.2145e-08
Y90,39,90,-1,300,0.0
Y91,39,91,-1,300,0.0
Zr90,40,90,-1,300,6.2296e-08
Zr91,40,91,-1,300,1.388e-08
Zr92,40,92,-1,300,2.1691e-08
Zr93,40,93,-1,300,6.8881e-10
Zr94,40,94,-1,300,2.1882e-08
Zr95,40,95,-1,300,1.5939000000000002e-33
Zr96,40,96,-1,300,0.0
Zr97,40,97,-1,300,0.0
Nb91,41,91,-1,300,0.0
Nb92,41,92,-1,300,0.0
Nb93,41,93,-1,300,8.4741e-09
Nb94,41,94,-1,300,2.7117000000000003e-20
Nb95,41,95,-1,300,8.7123e-34
Nb96,41,96,-1,300,0.0
Nb97,41,97,-1,300,0.0
Mo92,42,92,-1,300,3.2722e-09
Mo93,42,93,-1,300,6.29e-16
Mo94,42,94,-1,300,2.4652e-09
Mo95,42,95,-1,300,3.94e-09
Mo96,42,96,-1,300,7.9502e-09
Mo97,42,97,-1,300,2.5423e-09
Mo98,42,98,-1,300,6.8024e-09
Xe132,53,132,-1,300,2.131e-08
Xe133,53,133,-1,300,2.8022e-34
Xe134,53,134,-1,300,7.7393e-09
Xe135,53,135,-1,300,0.0
Cs133,54,133,-1,300,5.2888e-09
Cs134,54,134,-1,300,8.1807e-32
Cs135,54,135,-1,300,3.1581e-11
Cs136,54,136,-1,300,4.9121e-36
Cs137,54,137,-1,300,0.0
Cs138,54,138,-1,300,0.0
Ba134,55,134,-1,300,2.4661e-09
Ba135,55,135,-1,300,4.5401e-09
Ba136,55,136,-1,300,7.0156e-09
Ba137,55,137,-1,300,8.5565e-09
