name,Z,A,[Fe/H],Vel,YieldTot
C12,6,12,-2,0,0.15712
C13,6,13,-2,0,1.0926e-05
C14,6,14,-2,0,4.5264e-08
N13,7,13,-2,0,1.6061e-12
N14,7,14,-2,0,0.00085161
N15,7,15,-2,0,1.4213e-07
N16,7,16,-2,0,1.6415000000000002e-30
O15,8,15,-2,0,7.0587e-17
O16,8,16,-2,0,0.27327
O17,8,17,-2,0,8.1649e-06
O18,8,18,-2,0,9.245e-05
O19,8,19,-2,0,1.5122000000000001e-24
F17,0,17,-2,0,4.1086e-26
F18,0,18,-2,0,2.5695e-08
F19,0,19,-2,0,3.67e-08
F20,0,20,-2,0,1.1193999999999999e-26
Ne20,10,20,-2,0,0.012166
Ne21,10,21,-2,0,6.9402e-06
Ne22,10,22,-2,0,0.00030972
Ne23,10,23,-2,0,2.4497e-18
Na21,11,21,-2,0,3.8243e-17
Na22,11,22,-2,0,1.8338e-07
Na23,11,23,-2,0,6.5262e-05
Na24,11,24,-2,0,2.595e-09
Mg23,12,23,-2,0,3.842e-17
Mg24,12,24,-2,0,0.011463
Mg25,12,25,-2,0,3.1681e-05
Mg26,12,26,-2,0,2.7669e-05
Mg27,12,27,-2,0,1.3798e-14
Al25,13,25,-2,0,2.9607e-19
Al26,13,26,-2,0,1.8364e-05
Al27,13,27,-2,0,0.00030174
Al28,13,28,-2,0,3.9432e-13
Si27,14,27,-2,0,6.4749e-20
Si28,14,28,-2,0,0.061564
Si29,14,29,-2,0,0.00025434
Si30,14,30,-2,0,0.000369
Si31,14,31,-2,0,3.7475e-10
Si32,14,32,-2,0,1.3682e-11
P29,15,29,-2,0,9.2127e-22
P30,15,30,-2,0,2.1941e-12
P31,15,31,-2,0,0.00013833
P32,15,32,-2,0,5.0462e-08
P33,15,33,-2,0,3.8676e-08
P34,15,34,-2,0,2.8761e-24
S31,16,31,-2,0,1.1069999999999999e-23
S32,16,32,-2,0,0.021407
S33,16,33,-2,0,0.00010592
S34,16,34,-2,0,0.00057355
S35,16,35,-2,0,1.4485e-08
S36,16,36,-2,0,2.6672e-08
S37,16,37,-2,0,4.1769e-21
Cl33,17,33,-2,0,4.1329000000000005e-24
Cl34,17,34,-2,0,2.1851e-28
Cl35,17,35,-2,0,2.8886e-05
Cl36,17,36,-2,0,1.2602e-07
Cl37,17,37,-2,0,4.4184e-07
Cl38,17,38,-2,0,1.128e-13
Ar36,18,36,-2,0,0.0038421
Ar37,18,37,-2,0,8.5103e-06
Ar38,18,38,-2,0,0.00024058
Ar39,18,39,-2,0,2.778e-09
Ar40,18,40,-2,0,4.9319e-09
Ar41,18,41,-2,0,6.8382e-14
K37,19,37,-2,0,1.6862e-32
K38,19,38,-2,0,2.5212e-13
K39,19,39,-2,0,2.8147e-05
K40,19,40,-2,0,6.6156e-09
K41,19,41,-2,0,2.6195e-08
K42,19,42,-2,0,3.7426e-11
Ca40,20,40,-2,0,0.0033776
Ca41,20,41,-2,0,2.0852e-06
Ca42,20,42,-2,0,6.6683e-06
Ca43,20,43,-2,0,7.4454e-08
Ca44,20,44,-2,0,3.6786e-07
Ca45,20,45,-2,0,5.6762e-10
Ca46,20,46,-2,0,8.0742e-10
